order_id,customer_id,amount,status,event_time
9000,29,2441.92,SHIPPED,2026-06-05 07:32:24
9001,14,2889.48,SHIPPED,2026-06-05 07:32:25
9002,100,2064.35,PLACED,2026-06-05 07:32:26
9003,7,1156.51,PLACED,2026-06-05 07:32:27
9004,17,3781.2,CANCELLED,2026-06-05 07:32:28
9005,97,1332.98,SHIPPED,2026-06-05 07:32:29
9006,69,2251.6,PLACED,2026-06-05 07:32:30
9007,36,1899.16,PLACED,2026-06-05 07:32:31
9008,79,2506.16,CANCELLED,2026-06-05 07:32:32
9009,64,1808.5,PLACED,2026-06-05 07:32:33
9010,75,846.24,SHIPPED,2026-06-05 07:32:34
9011,55,2991.64,DELIVERED,2026-06-05 07:32:35
9012,67,2985.14,DELIVERED,2026-06-05 07:32:36
9013,73,1816.92,DELIVERED,2026-06-05 07:32:37
9014,95,891.45,PLACED,2026-06-05 07:32:38
9015,60,1882.59,SHIPPED,2026-06-05 07:32:39
9016,7,1520.33,PLACED,2026-06-05 07:32:40
9017,34,2361.95,PLACED,2026-06-05 07:32:41
9018,93,495.71,SHIPPED,2026-06-05 07:32:42
9019,49,2426.6,CANCELLED,2026-06-05 07:32:43
9020,82,4160.98,PLACED,2026-06-05 07:32:44
9021,14,3290.1,SHIPPED,2026-06-05 07:32:45
9022,48,1826.91,SHIPPED,2026-06-05 07:32:46
9023,12,3987.45,CANCELLED,2026-06-05 07:32:47
9024,60,4316.75,CANCELLED,2026-06-05 07:32:48
9025,17,4386.75,SHIPPED,2026-06-05 07:32:49
9026,28,1950.92,CANCELLED,2026-06-05 07:32:50
9027,93,822.91,SHIPPED,2026-06-05 07:32:51
9028,57,2952.98,CANCELLED,2026-06-05 07:32:52
9029,34,3032.92,PLACED,2026-06-05 07:32:53
9030,43,4620.53,CANCELLED,2026-06-05 07:32:54
9031,44,1904.06,DELIVERED,2026-06-05 07:32:55
9032,86,4356.45,SHIPPED,2026-06-05 07:32:56
9033,82,4312.81,PLACED,2026-06-05 07:32:57
9034,46,2207.02,PLACED,2026-06-05 07:32:58
9035,68,2600.91,DELIVERED,2026-06-05 07:32:59
9036,50,888.54,PLACED,2026-06-05 07:33:00
9037,78,3089.56,SHIPPED,2026-06-05 07:33:01
9038,6,3346.93,PLACED,2026-06-05 07:33:02
9039,19,4820.14,SHIPPED,2026-06-05 07:33:03
9040,2,1842.53,SHIPPED,2026-06-05 07:33:04
9041,1,4757.68,SHIPPED,2026-06-05 07:33:05
9042,43,3693.42,CANCELLED,2026-06-05 07:33:06
9043,93,607.66,SHIPPED,2026-06-05 07:33:07
9044,57,1038.86,DELIVERED,2026-06-05 07:33:08
9045,30,1450.15,SHIPPED,2026-06-05 07:33:09
9046,50,547.69,DELIVERED,2026-06-05 07:33:10
9047,14,153.64,SHIPPED,2026-06-05 07:33:11
9048,23,4256.9,PLACED,2026-06-05 07:33:12
9049,62,808.07,PLACED,2026-06-05 07:33:13
9050,40,3266.63,DELIVERED,2026-06-05 07:33:14
9051,1,121.5,SHIPPED,2026-06-05 07:33:15
9052,77,586.98,CANCELLED,2026-06-05 07:33:16
9053,16,3070.64,SHIPPED,2026-06-05 07:33:17
9054,92,667.4,CANCELLED,2026-06-05 07:33:18
9055,65,2368.18,DELIVERED,2026-06-05 07:33:19
9056,75,3989.86,PLACED,2026-06-05 07:33:20
9057,15,807.66,CANCELLED,2026-06-05 07:33:21
9058,64,1949.04,CANCELLED,2026-06-05 07:33:22
9059,85,1725.28,PLACED,2026-06-05 07:33:23
9060,75,4866.41,DELIVERED,2026-06-05 07:33:24
9061,75,1297.15,SHIPPED,2026-06-05 07:33:25
9062,45,1414.76,SHIPPED,2026-06-05 07:33:26
9063,11,300.35,CANCELLED,2026-06-05 07:33:27
9064,81,3400.54,DELIVERED,2026-06-05 07:33:28
9065,14,2149.32,CANCELLED,2026-06-05 07:33:29
9066,94,2761.46,DELIVERED,2026-06-05 07:33:30
9067,13,3229.2,SHIPPED,2026-06-05 07:33:31
9068,59,1493.72,DELIVERED,2026-06-05 07:33:32
9069,13,2398.61,DELIVERED,2026-06-05 07:33:33
9070,72,4957.31,DELIVERED,2026-06-05 07:33:34
9071,98,2149.17,PLACED,2026-06-05 07:33:35
9072,61,796.85,SHIPPED,2026-06-05 07:33:36
9073,23,4130.91,DELIVERED,2026-06-05 07:33:37
9074,24,4141.12,PLACED,2026-06-05 07:33:38
9075,77,4827.87,DELIVERED,2026-06-05 07:33:39
9076,43,477.35,PLACED,2026-06-05 07:33:40
9077,72,4366.57,CANCELLED,2026-06-05 07:33:41
9078,90,4585.0,CANCELLED,2026-06-05 07:33:42
9079,100,3484.11,PLACED,2026-06-05 07:33:43
9080,14,3885.6,PLACED,2026-06-05 07:33:44
9081,23,3817.96,CANCELLED,2026-06-05 07:33:45
9082,30,2898.4,SHIPPED,2026-06-05 07:33:46
9083,81,756.17,PLACED,2026-06-05 07:33:47
9084,27,3437.22,SHIPPED,2026-06-05 07:33:48
9085,55,984.6,CANCELLED,2026-06-05 07:33:49
9086,23,1598.51,DELIVERED,2026-06-05 07:33:50
9087,50,1855.93,SHIPPED,2026-06-05 07:33:51
9088,45,1632.31,SHIPPED,2026-06-05 07:33:52
9089,67,804.38,SHIPPED,2026-06-05 07:33:53
9090,48,4973.82,SHIPPED,2026-06-05 07:33:54
9091,23,3662.36,CANCELLED,2026-06-05 07:33:55
9092,60,474.74,SHIPPED,2026-06-05 07:33:56
9093,54,810.56,SHIPPED,2026-06-05 07:33:57
9094,45,1995.39,CANCELLED,2026-06-05 07:33:58
9095,40,1344.82,DELIVERED,2026-06-05 07:33:59
9096,27,240.04,CANCELLED,2026-06-05 07:34:00
9097,38,1977.83,SHIPPED,2026-06-05 07:34:01
9098,56,2073.19,CANCELLED,2026-06-05 07:34:02
9099,96,4821.65,PLACED,2026-06-05 07:34:03
